ISO3,Year,Total_Displacement,Total_Disaster_Displacements,Num_Disaster_Events,Max_Event_Displacement,Drought,Earthquake,Erosion,Extreme Temperature,Flood,Mass Movement,Mixed disasters,Sea level Rise,Storm,Volcanic activity,Wave action,Wildfire,tas_mean,tasmin_mean,tasmax_mean,pr_sum,pr_mean,tas_std,pr_std,tas_anomaly,pr_anomaly,Climate_PC1,Climate_PC2,Climate_PC3,Climate_PC4,Climate_PC5,Population,log_target
AFG,2000,758625,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,13.731109,6.660416,20.836407,13803.9,19.497034,5.9355984,15.176575,-0.13019085,-4669.2285,-1.8744912,-0.05378637,0.73520684,-0.63176143,-1.0789042,20130327.0,13.539264181311616
AFG,2001,1200010,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,13.977119,6.716455,21.273695,13070.351,18.460947,6.0444007,13.834488,0.11581993,-5402.7783,-1.8403459,-0.09570069,1.2088218,-0.22907515,-0.9300641,20284307.0,13.997841281382883
AFG,2002,665174,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,13.815678,6.6895127,20.976377,17474.625,24.681673,6.070372,15.995835,-0.045621872,-998.5039,-1.8400491,0.060173243,0.68026453,-0.2554348,-1.1302859,21378117.0,13.407805442912762
AFG,2003,184364,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,13.329484,6.511158,20.181568,18218.125,25.731817,6.1151085,18.377632,-0.5318155,-255.0039,-1.9460065,0.18150437,-0.17016572,-1.1052531,-1.4723309,22733049.0,12.124672767317191
AFG,2004,159608,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,14.124718,7.1226344,21.164408,17056.676,24.091349,6.0194936,15.597304,0.2634182,-1416.4531,-1.757539,0.005331483,1.2098316,0.2876824,-0.8957746,23560654.0,11.980482353385378
AFG,2005,142548,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,13.36695,6.412253,20.355438,20578.201,29.065256,6.003733,17.688587,-0.49434948,2105.0723,-1.915168,0.18368623,-0.2638757,-0.8845891,-1.480753,24404567.0,11.867441079233785
AFG,2006,129349,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,14.142127,7.138807,21.180826,19504.775,27.549118,6.1276946,20.489714,0.28082752,1031.6465,-1.7111079,0.1866608,1.1055462,0.45993584,-0.9311205,25424094.0,11.770277187614175
AFG,2007,153761,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,13.723587,6.706286,20.77486,18319.602,25.875143,5.9534416,17.06135,-0.13771248,-153.52734,-1.8351723,0.08268389,0.4556225,-0.36848593,-1.176581,25909852.0,11.943161231403604
AFG,2008,230717,3380.0,0.0,3200.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.872987,6.898482,20.882452,16470.426,23.263313,6.0848446,18.545198,0.011687279,-2002.7031,-1.8106287,0.09656023,0.83283144,-0.21709119,-1.0513957,26482622.0,12.3489514645252
AFG,2009,297179,28200.0,0.0,25000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.893468,7.0681496,20.754026,21288.627,30.06868,6.1477203,17.561903,0.03216839,2815.498,-1.7902583,0.18269882,0.59217554,0.118932754,-1.1648772,27466101.0,12.602093294810338
AFG,2010,1196621,71000.0,0.0,70000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.243716,7.084888,21.43969,16908.7,23.882345,6.182751,20.672714,0.38241673,-1564.4297,-1.7067633,0.14260124,1.4382042,0.4821317,-0.8166004,28284089.0,13.99501314519443
AFG,2011,1401777,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.769704,6.9388423,20.634146,18166.65,25.659111,6.136309,16.063948,-0.09159565,-306.47852,-1.8527663,0.09540107,0.5711927,-0.29911163,-1.187483,29347708.0,14.153251988817631
AFG,2012,1381907,30040.0,0.0,13000.0,0.0,1.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.154378,6.252649,20.08849,21547.525,30.434357,6.1086617,20.537788,-0.7069216,3074.3965,-1.9538301,0.30911118,-0.66135716,-1.22237,-1.6539603,30560034.0,14.138975710905726
AFG,2013,923694,15210.0,0.0,8900.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.081143,7.138029,21.05897,21341.525,30.143396,6.1086903,22.475153,0.21984386,2868.3965,-1.6967739,0.26874712,0.88932985,0.4601282,-0.9958237,31622704.0,13.736137209553169
AFG,2014,1307173,13180.0,0.0,6400.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.466385,6.5151486,20.450918,17261.826,24.38111,6.069853,17.334442,-0.39491463,-1211.3027,-1.920275,0.11664474,0.10895125,-0.9105449,-1.3548138,32792523.0,14.08337811304919
AFG,2015,1582254,71324.0,0.0,55000.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13.869456,7.1745763,20.599789,23428.852,33.0916,6.1560693,24.132637,0.008156776,4955.7227,-1.7293739,0.37710947,0.41758454,0.19775712,-1.1849552,33831764.0,14.27436160268944
AFG,2016,1971665,7360.0,7.0,1900.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.407273,7.473305,21.37906,21132.875,29.848694,6.1789727,21.595215,0.5459738,2659.746,-1.6281451,0.23273644,1.4564872,1.0433031,-0.78784364,34700612.0,14.494389428603043
